"display_text","submission name","submission_date","template_name","response component","curation date YYYY-MM-DD ","Cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested.","age_min - age of youngest subject including both cases and controls","age_max - age of oldest subject including both case and controls","age units","number of subjects - count of case plus control subjects used in the measurement.","tissue type","tissue (Cell Ontology)","response component (original gene symbol)","signature was derived from a computational model","response behavior type","response behavior (direction, correlation type etc.)","comparison (affected vs control, correlated variable, time vs baseline event etc.)","baseline time event","time point relative to baseline event at which response was measured","time point units","exposure material (vaccine ontology)","exposure material - additional","vaccine year (influenza only)","adjuvant","route","scheduling","publication reference (PMID)","Thakar et al. (2015) Aging-dependent alterations in gene expression and a mitochondrial signature of responsiveness to human influenza vaccination. Aging (Albany NY). PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819' target='_blank'>25596819</a>","print publication date or posted date (YYYY-MM-DD or YYYY)","signature source figure, table or text section","signature source url","comments and additional details","response component (original) count","response component count","ID of observation within a publication (PMID) and for its submission type ","ID of observation within its submission type","row key","response component (genes) file"," response components including non-HGNC genes","target pathogen 1","target pathogen 2","target pathogen 3"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","SMPDL3A","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","SMPDL3A","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","STAT6","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","STAT6","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","TM9SF4","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","TM9SF4","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","TNFSF12","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","TNFSF12","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","YPEL2","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","YPEL2","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","ZFHX3","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","ZFHX3","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","ZYX","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","ZYX","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","CLSTN1","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","CLSTN1","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","KLF13","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","KLF13","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","PPP1CA","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","PPP1CA","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","SLCO3A1","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","SLCO3A1","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","TBC1D9B","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","TBC1D9B","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","ACO2","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","ACO2","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","ARPC3","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","ARPC3","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","BRPF1","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","BRPF1","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","CAMK2N1","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","CAMK2N1","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","CD99","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","CD99","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","CLOCK","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","CLOCK","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","CSTB","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","CSTB","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","ECH1","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","ECH1","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","RMDN3","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","RMDN3","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","FYN","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","FYN","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","IL32","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","IL32","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","ADGRL1","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","ADGRL1","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","MAF","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","MAF","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","MIAT","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","MIAT","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","KMT2A","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","KMT2A","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","PTGER2","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","PTGER2","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","SDF4","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","SDF4","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","SIGMAR1","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","SIGMAR1","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","SRPK2","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","SRPK2","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","TUBA1C","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","TUBA1C","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","DCAF7","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","WDR68","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
"","hipc_vac_gene_25596819_5","2015.01.19","hipc_vac_gene_25596819_5","ZFPM1","","subgroup nonresponders","21","30","years","","peripheral blood mononuclear cell","CL:2000001","ZFPM1","N","gene expression","down","7d vs 0d","time of vaccination","7","days","VO:0004810","","2011","","","","25596819","https://www.ncbi.nlm.nih.gov/pubmed/?term=25596819","2015","Suppl Table 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4356402/#SD1' target='_blank'>#SD1</a>","","73","72","5","273","25596819_5_273","hipc_vac_gene_sig_25596819_5.txt","hipc_vac_gene_sig_complete_25596819_5.txt","1316510","654811","604436"
