"descriptive text on Dashboard"	"response component"	"curation date YYYY-MM-DD"	"cohort - any characteristics of the population(s) studied, plus whether the result was taken from a subgroup of the broader cohort tested"	"age_min - age of youngest subject including both cases and controls"	"age_max - age of oldest subject including both case and controls"	"age units"	"number of subjects - count of case plus control subjects used in the measurement."	"tissue type"	"tissue (Cell Ontology)"	"method - primary experimental method used to measure the response"	"response component (original gene symbol)"	"signature was derived from a computational model"	"response behavior type"	"response behavior (direction, correlation type etc.)"	"comparison (affected vs control, correlated variable, time vs baseline event etc.)"	"baseline time event"	"time point relative to baseline event at which response was measured"	"time point units"	"exposure material (NCBI pathogen name)"	"exposure material (NCBI taxid)"	"exposure process - method by which immune exposure  occurred"	"disease name"	"disease stage - reported disease stage(s) of affected subjects"	"publication reference (PMID)"	"print publication date or posted date (YYYY-MM-DD)"	"publication URL"	"signature source - figure, table or text section"	"comments and additional details"	"response component (original) count"	"response component count"	"row key"
""	"PYHIN1; DCK; NR4A3; CD69; PIK3AP1; TIPARP; PPA2; NAMPT; CCNYL1; CD86; LGALS9; VCPIP1; ABTB2; TRIM14; CCRL2; EHD4; IL1RN; HK2"	"2021-02-18"	"Severe COVID-19 patients"	"18"	"94"	"years"	"34"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; hierarchical clustering"	"PYHIN1; DCK; NR4A3; CD69; PIK3AP1; TIPARP; PPA2; NAMPT; CCNYL1; CD86; LGALS9; VCPIP1; ABTB2; TRIM14; CCRL2; EHD4; IL1RN; HK2"	"N"	"gene expression"	"up"	"20 days vs 0 days"	"time of clinical onset"	"20"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S15a; Fig 1g"	"-COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Severe cases were defined as requiring supplemental oxygen.\""	"18"	"18"	"32788292_106_322"
""	"PARP14; DTX3L; STAT2; ADAR; OAS3; BST2; IFITM3; OAS2; PARP9; TDRD7; CNP; PML; IFI35; IRF7; IL15RA; PLSCR1; OGFR; SELL; TRIM25; ANKFY1; TRAFD1; CXCL10; NMI; RTP4; PHF11; TRIM21; FAM111A; GBP4; GBP3; DHX58; RSAD2; IFIT2; UBE2L6; IFI44; EIF2AK2; CMPK2; EPSTI1; LGALS3BP; ISG15; USP18; PARP11; STAT1; DDX60; SAMD9L; DDX58; IFIH1; XAF1; IFIT1; IFIT3; PNPT1; SP110; PPM1K; ISG20; ZBP1; IRF9; RNF213; SMCHD1; ZCCHC2; USP25; MOV10; ZNFX1; TMEM140; PPA1; MAX; GCH1; GBP2; CASP4; PSME2; CLIC4; P2RY14; RBM43; TAP1; PARP12; XRN1; HSH2D; TLK2; ATP10A; NLRC5; SLFN5; PCGF5; GBP5; AIDA; BBX; CD274"	"2021-02-18"	"Severe COVID-19 patients"	"18"	"94"	"years"	"34"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; hierarchical clustering"	"PARP14; DTX3L; STAT2; ADAR; OAS3; BST2; IFITM3; OAS2; PARP9; TDRD7; CNP; PML; IFI35; IRF7; IL15RA; PLSCR1; OGFR; SELL; TRIM25; ANKFY1; TRAFD1; CXCL10; NMI; RTP4; PHF11; TRIM21; FAM111A; GBP4; GBP3; DHX58; RSAD2; IFIT2; UBE2L6; IFI44; EIF2AK2; CMPK2; EPSTI1; LGALS3BP; ISG15; USP18; PARP11; STAT1; DDX60; SAMD9L; DDX58; IFIH1; XAF1; IFIT1; IFIT3; PNPT1; SP110; PPM1K; ISG20; ZBP1; IRF9; RNF213; SMCHD1; ZCCHC2; USP25; MOV10; ZNFX1; TMEM140; PPA1; MAX; GCH1; GBP2; CASP4; PSME2; CLIC4; P2RY14; RBM43; TAP1; PARP12; XRN1; HSH2D; TLK2; ATP10A; NLRC5; SLFN5; PCGF5; GBP5; AIDA; BBX; CD274"	"N"	"gene expression"	"down"	"20 days vs 0 days"	"time of clinical onset"	"20"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S15a; Fig 1g"	"-COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Severe cases were defined as requiring supplemental oxygen.\""	"85"	"84"	"32788292_107_323"
""	"PYHIN1; DCK; PPA2; FAM111A; GBP4; GBP2; GCH1; CASP4; TRAFD1; RTP4; PHF11; TRIM21; MAX; TMEM140; TLK2; SLFN5; GBP5; AIDA; PPA1; CD274; RBM43"	"2021-02-18"	"ICU COVID-19 patients"	"18"	"94"	"years"	"34"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; hierarchical clustering"	"PYHIN1; DCK; PPA2; FAM111A; GBP4; GBP2; GCH1; CASP4; TRAFD1; RTP4; PHF11; TRIM21; MAX; TMEM140; TLK2; SLFN5; GBP5; AIDA; PPA1; CD274; RBM43"	"N"	"gene expression"	"up"	"20 days vs 0 days"	"time of clinical onset"	"20"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S15a; Fig 1g"	"-COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Critical cases were organ failure necessitating intensive care unit (ICU) care.\""	"22"	"21"	"32788292_108_324"
""	"PARP14; DTX3L; STAT2; ADAR; OAS3; BST2; IFITM3; OAS2; PARP9; TDRD7; CNP; PML; IFI35; IRF7; IL15RA; PLSCR1; OGFR; SELL; TRIM25; ANKFY1; CXCL10; NMI; DHX58; RSAD2; IFIT2; UBE2L6; IFI44; EIF2AK2; CMPK2; EPSTI1; LGALS3BP; ISG15; USP18; PARP11; STAT1; DDX60; SAMD9L; DDX58; IFIH1; XAF1; IFIT1; IFIT3; PNPT1; SP110; PPM1K; ISG20; ZBP1; IRF9; RNF213; SMCHD1; ZCCHC2; USP25; MOV10; ZNFX1; PSME2; CLIC4; P2RY14; TAP1; PARP12; XRN1; HSH2D; ATP10A; NLRC5; PCGF5; BBX; LGALS9; VCPIP1; ABTB2; TRIM14; CCNYL1; CD86; EHD4; IL1RN; HK2; NR4A3; CD69; PIK3AP1; TIPARP"	"2021-02-18"	"ICU COVID-19 patients"	"18"	"94"	"years"	"34"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; hierarchical clustering"	"PARP14; DTX3L; STAT2; ADAR; OAS3; BST2; IFITM3; OAS2; PARP9; TDRD7; CNP; PML; IFI35; IRF7; IL15RA; PLSCR1; OGFR; SELL; TRIM25; ANKFY1; CXCL10; NMI; DHX58; RSAD2; IFIT2; UBE2L6; IFI44; EIF2AK2; CMPK2; EPSTI1; LGALS3BP; ISG15; USP18; PARP11; STAT1; DDX60; SAMD9L; DDX58; IFIH1; XAF1; IFIT1; IFIT3; PNPT1; SP110; PPM1K; ISG20; ZBP1; IRF9; RNF213; SMCHD1; ZCCHC2; USP25; MOV10; ZNFX1; PSME2; CLIC4; P2RY14; TAP1; PARP12; XRN1; HSH2D; ATP10A; NLRC5; PCGF5; BBX; LGALS9; VCPIP1; ABTB2; TRIM14; CCNYL1; CD86; EHD4; IL1RN; HK2; NR4A3; CD69; PIK3AP1; TIPARP"	"N"	"gene expression"	"down"	"20 days vs 0 days"	"time of clinical onset"	"20"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S15a; Fig 1g"	"-COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Critical cases were organ failure necessitating intensive care unit (ICU) care.\""	"79"	"78"	"32788292_109_325"
""	"PYHIN1; DCK; NR4A3; CD69; PIK3AP1; TIPARP; PPA2; NAMPT; CCNYL1; CD86; CCRL2; EHD4; IL1RN; HK2; GCH1; XRN1; ZCCHC2; ZNFX1"	"2021-02-18"	"Moderate COVID-19 patients"	"18"	"94"	"years"	"34"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; hierarchical clustering"	"PYHIN1; DCK; NR4A3; CD69; PIK3AP1; TIPARP; PPA2; NAMPT; CCNYL1; CD86; CCRL2; EHD4; IL1RN; HK2; GCH1; XRN1; ZCCHC2; ZNFX1"	"N"	"gene expression"	"up"	"15 days vs 0 days"	"time of clinical onset"	"15"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S15a; Fig 1g"	"-COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia.\""	"18"	"18"	"32788292_110_326"
""	"PARP14; DTX3L; STAT2; ADAR; OAS3; BST2; IFITM3; OAS2; PARP9; TDRD7; CNP; PML; IFI35; IRF7; IL15RA; PLSCR1; OGFR; SELL; TRIM25; ANKFY1; CXCL10; NMI; DHX58; RSAD2; IFIT2; UBE2L6; IFI44; EIF2AK2; CMPK2; EPSTI1; LGALS3BP; ISG15; USP18; PARP11; STAT1; DDX60; SAMD9L; DDX58; IFIH1; XAF1; IFIT1; IFIT3; PNPT1; SP110; IRF9; SMCHD1; MOV10; TMEM140; PPA1; MAX; PSME2; CLIC4; P2RY14; RBM43; TAP1; PARP12; TLK2; ATP10A; NLRC5; SLFN5; PCGF5; GBP5; AIDA; BBX; CD274; LGALS9; VCPIP1; ABTB2; TRIM14; FAM111A; GBP4; GBP2; CASP4; TRAFD1; RTP4; PHF11; TRIM21"	"2021-02-18"	"Moderate COVID-19 patients"	"18"	"94"	"years"	"34"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; hierarchical clustering"	"PARP14; DTX3L; STAT2; ADAR; OAS3; BST2; IFITM3; OAS2; PARP9; TDRD7; CNP; PML; IFI35; IRF7; IL15RA; PLSCR1; OGFR; SELL; TRIM25; ANKFY1; CXCL10; NMI; DHX58; RSAD2; IFIT2; UBE2L6; IFI44; EIF2AK2; CMPK2; EPSTI1; LGALS3BP; ISG15; USP18; PARP11; STAT1; DDX60; SAMD9L; DDX58; IFIH1; XAF1; IFIT1; IFIT3; PNPT1; SP110; IRF9; SMCHD1; MOV10; TMEM140; PPA1; MAX; PSME2; CLIC4; P2RY14; RBM43; TAP1; PARP12; TLK2; ATP10A; NLRC5; SLFN5; PCGF5; GBP5; AIDA; BBX; CD274; LGALS9; VCPIP1; ABTB2; TRIM14; FAM111A; GBP4; GBP2; CASP4; TRAFD1; RTP4; PHF11; TRIM21"	"N"	"gene expression"	"down"	"15 days vs 0 days"	"time of clinical onset"	"15"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S15a; Fig 1g"	"-COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia.\""	"79"	"77"	"32788292_111_327"
""	"NR4A3; PIK3AP1; TIPARP; PPA2; NAMPT; CCNYL1; CCRL2; EHD4; IL1RN; HK2; PLSCR1; OGFR; SELL; TRIM25; LGALS9; VCPIP1; ABTB2; MAX; CLIC4; PCGF5; CD274; PPA1"	"2021-02-18"	"ICU COVID-19 patients"	"18"	"94"	"years"	"34"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; hierarchical clustering"	"NR4A3; PIK3AP1; TIPARP; PPA2; NAMPT; CCNYL1; CCRL2; EHD4; IL1RN; HK2; PLSCR1; OGFR; SELL; TRIM25; LGALS9; VCPIP1; ABTB2; MAX; CLIC4; PCGF5; CD274; PPA1"	"N"	"gene expression"	"up"	"15 days vs 0 days"	"time of clinical onset"	"15"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S15a; Fig 1g"	"-COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs\". Critical cases were organ failure necessitating intensive care unit (ICU) care.\""	"23"	"22"	"32788292_112_328"
""	"PARP14; DTX3L; STAT2; ADAR; OAS3; BST2; IFITM3; OAS2; PARP9; TDRD7; CNP; PML; IFI35; IRF7; IL15RA; ANKFY1; CXCL10; NMI; DHX58; RSAD2; IFIT2; UBE2L6; IFI44; EIF2AK2; CMPK2; EPSTI1; LGALS3BP; ISG15; USP18; PARP11; STAT1; DDX60; SAMD9L; DDX58; IFIH1; XAF1; IFIT1; IFIT3; PNPT1; SP110; PPM1K; ISG20; ZBP1; IRF9; RNF213; SMCHD1; ZCCHC2; USP25; MOV10; ZNFX1; TMEM140; PSME2; CD86; P2RY14; RBM43; TAP1; PARP12; XRN1; HSH2D; ATP10A; NLRC5; SLFN5; GBP5; AIDA; BBX; TRIM14; FAM111A; GBP4; GBP2; TRAFD1; RTP4; PHF11; TRIM21; GCH1; PYHIN1; DCK"	"2021-02-18"	"ICU COVID-19 patients"	"18"	"94"	"years"	"34"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; hierarchical clustering"	"PARP14; DTX3L; STAT2; ADAR; OAS3; BST2; IFITM3; OAS2; PARP9; TDRD7; CNP; PML; IFI35; IRF7; IL15RA; ANKFY1; CXCL10; NMI; DHX58; RSAD2; IFIT2; UBE2L6; IFI44; EIF2AK2; CMPK2; EPSTI1; LGALS3BP; ISG15; USP18; PARP11; STAT1; DDX60; SAMD9L; DDX58; IFIH1; XAF1; IFIT1; IFIT3; PNPT1; SP110; PPM1K; ISG20; ZBP1; IRF9; RNF213; SMCHD1; ZCCHC2; USP25; MOV10; ZNFX1; TMEM140; PSME2; CD86; P2RY14; RBM43; TAP1; PARP12; XRN1; HSH2D; ATP10A; NLRC5; SLFN5; GBP5; AIDA; BBX; TRIM14; FAM111A; GBP4; GBP2; TRAFD1; RTP4; PHF11; TRIM21; GCH1; PYHIN1; DCK"	"N"	"gene expression"	"down"	"15 days vs 0 days"	"time of clinical onset"	"15"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S15a; Fig 1g"	"-COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs\". Critical cases were organ failure necessitating intensive care unit (ICU) care.\""	"78"	"76"	"32788292_113_329"
""	"PIK3AP1; PPA2; EHD4; HK2; OGFR; TRIM25; LGALS9; ABTB2; NAMPT; MAX; CLIC4; STAT2; ADAR; BST2; IFITM3; IRF7; ANKFY1; GBP2; CASP4; TRAFD1; IRF9; TMEM140; CD86; P2RY14"	"2021-02-18"	"ICU COVID-19 patients"	"18"	"94"	"years"	"34"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; hierarchical clustering"	"PIK3AP1; PPA2; EHD4; HK2; OGFR; TRIM25; LGALS9; ABTB2; NAMPT; MAX; CLIC4; STAT2; ADAR; BST2; IFITM3; IRF7; ANKFY1; GBP2; CASP4; TRAFD1; IRF9; TMEM140; CD86; P2RY14"	"N"	"gene expression"	"up"	"10 days vs 0 days"	"time of clinical onset"	"10"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S15a; Fig 1g"	"-COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs\". Critical cases were organ failure necessitating intensive care unit (ICU) care.\""	"24"	"24"	"32788292_114_330"
""	"PARP14; IFI35; IL15RA; DHX58; RSAD2; IFIT2; IFI44; EIF2AK2; CMPK2; EPSTI1; LGALS3BP; ISG15; USP18; PARP11; STAT1; DDX60; SAMD9L; DDX58; IFIH1; XAF1; IFIT1; PNPT1; SP110; PPM1K; ISG20; ZBP1; RNF213; SMCHD1; ZCCHC2; USP25; ZNFX1; PSME2; RBM43; TAP1; PARP12; XRN1; ATP10A; NLRC5; SLFN5; GBP5; AIDA; BBX; PPA1; CD274; TRIM14; FAM111A; PHF11; TRIM21; GCH1; PYHIN1; DCK; SELL; VCPIP1; IL1RN; CCNYL1; TIPARP; CD69; NR4A3; TLK2; PCGF5"	"2021-02-18"	"ICU COVID-19 patients"	"18"	"94"	"years"	"34"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; hierarchical clustering"	"PARP14; IFI35; IL15RA; DHX58; RSAD2; IFIT2; IFI44; EIF2AK2; CMPK2; EPSTI1; LGALS3BP; ISG15; USP18; PARP11; STAT1; DDX60; SAMD9L; DDX58; IFIH1; XAF1; IFIT1; PNPT1; SP110; PPM1K; ISG20; ZBP1; RNF213; SMCHD1; ZCCHC2; USP25; ZNFX1; PSME2; RBM43; TAP1; PARP12; XRN1; ATP10A; NLRC5; SLFN5; GBP5; AIDA; BBX; PPA1; CD274; TRIM14; FAM111A; PHF11; TRIM21; GCH1; PYHIN1; DCK; SELL; VCPIP1; IL1RN; CCNYL1; TIPARP; CD69; NR4A3; TLK2; PCGF5"	"N"	"gene expression"	"down"	"10 days vs 0 days"	"time of clinical onset"	"10"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S15a; Fig 1g"	"-COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs\". Critical cases were organ failure necessitating intensive care unit (ICU) care.\""	"61"	"60"	"32788292_115_331"
""	"PIK3AP1; PPA2; EHD4; HK2; OGFR; TRIM25; LGALS9; TRIM14; NAMPT; CLIC4; ANKFY1; TMEM140; CD86; P2RY14; IL15RA; CCRL2; IL1RN; CCNYL1; TIPARP; NR4A3"	"2021-02-18"	"ICU COVID-19 patients"	"18"	"94"	"years"	"34"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; hierarchical clustering"	"PIK3AP1; PPA2; EHD4; HK2; OGFR; TRIM25; LGALS9; TRIM14; NAMPT; CLIC4; ANKFY1; TMEM140; CD86; P2RY14; IL15RA; CCRL2; IL1RN; CCNYL1; TIPARP; NR4A3"	"N"	"gene expression"	"up"	"5 days vs 0 days"	"time of clinical onset"	"5"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S15a; Fig 1g"	"-COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs\". Critical cases were organ failure necessitating intensive care unit (ICU) care.\""	"21"	"20"	"32788292_116_332"
""	"PARP14; DTX3L; STAT2; ADAR; OAS2; PARP9; TDRD7; PML; IRF7; IFI35; DHX58; RSAD2; IFIT2; IFI44; EIF2AK2; CMPK2; EPSTI1; LGALS3BP; ISG15; USP18; PARP11; STAT1; DDX60; SAMD9L; DDX58; IFIH1; XAF1; IFIT1; PNPT1; SP110; PPM1K; ISG20; ZBP1; RNF213; SMCHD1; ZCCHC2; USP25; ZNFX1; PSME2; RBM43; TAP1; PARP12; XRN1; NLRC5; SLFN5; GBP5; AIDA; BBX; PPA1; CD274; ABTB2; FAM111A; PHF11; TRIM21; GCH1; PYHIN1; DCK; VCPIP1; CD69; TLK2; PCGF5; GBP4; GBP2; CASP4; TRAFD1; CXCL10; NMI; RTP4; UBE2L6; IFIT3; IRF9; HSH2D; MOV10; MAX"	"2021-02-18"	"ICU COVID-19 patients"	"18"	"94"	"years"	"34"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; hierarchical clustering"	"PARP14; DTX3L; STAT2; ADAR; OAS2; PARP9; TDRD7; PML; IRF7; IFI35; DHX58; RSAD2; IFIT2; IFI44; EIF2AK2; CMPK2; EPSTI1; LGALS3BP; ISG15; USP18; PARP11; STAT1; DDX60; SAMD9L; DDX58; IFIH1; XAF1; IFIT1; PNPT1; SP110; PPM1K; ISG20; ZBP1; RNF213; SMCHD1; ZCCHC2; USP25; ZNFX1; PSME2; RBM43; TAP1; PARP12; XRN1; NLRC5; SLFN5; GBP5; AIDA; BBX; PPA1; CD274; ABTB2; FAM111A; PHF11; TRIM21; GCH1; PYHIN1; DCK; VCPIP1; CD69; TLK2; PCGF5; GBP4; GBP2; CASP4; TRAFD1; CXCL10; NMI; RTP4; UBE2L6; IFIT3; IRF9; HSH2D; MOV10; MAX"	"N"	"gene expression"	"down"	"5 days vs 0 days"	"time of clinical onset"	"5"	"days"	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S15a; Fig 1g"	"-COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs\". Critical cases were organ failure necessitating intensive care unit (ICU) care.\""	"75"	"74"	"32788292_117_333"
""	"TNFSF14; TNF"	"2021-02-19"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"15"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; relative expression of genes encoding cytokines"	"TNFSF14; TNF"	"N"	"gene expression"	"down"	"ICU COVID-19 patients vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig 5c"	"-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Critical cases were organ failure ne..."	"2"	"2"	"32788292_118_348"
""	"S100A12"	"2021-02-19"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"15"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; relative expression of genes encoding cytokines"	"S100A12"	"N"	"gene expression"	"up"	"ICU COVID-19 patients vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig 5c"	"-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Critical cases were organ failure ne..."	"1"	"1"	"32788292_119_349"
""	"TNFSF14; TNF"	"2021-02-19"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"15"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; relative expression of genes encoding cytokines"	"TNFSF14; TNF"	"N"	"gene expression"	"down"	"severe COVID-19 patients vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig 5c"	"-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Severe cases were defined as requiri..."	"2"	"2"	"32788292_120_350"
""	"S100A12"	"2021-02-19"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"15"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; relative expression of genes encoding cytokines"	"S100A12"	"N"	"gene expression"	"up"	"severe COVID-19 patients vs healthy"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig 5c"	"-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Severe cases were defined as requiri..."	"1"	"1"	"32788292_121_351"
""	"TNF"	"2021-02-19"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"15"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; relative expression of genes encoding cytokines"	"TNF"	"N"	"gene expression"	"up"	"moderate COVID-19 patients vs ICU COVID-19 patients"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig 5c"	"-COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Critical cases were organ failure necessitat..."	"1"	"1"	"32788292_122_352"
""	"S100A12"	"2021-02-19"	"Atlanta, Georgia, USA"	"23"	"94"	"years"	"15"	"Peripheral Blood Mononuclear Cells"	"CL:2000001"	"bulk RNA-seq; relative expression of genes encoding cytokines"	"S100A12"	"N"	"gene expression"	"up"	"severe COVID-19 patients vs moderate COVID-19 patients"	"time of clinical onset"	""	""	"Severe acute respiratory syndrome coronavirus 2"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig 5c"	"-COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs. Moderate cases were defined as respiratory symptoms with radiological findings of pneumonia. Severe cases were defined as requiring suppl..."	"1"	"1"	"32788292_123_353"
